status_account,month_duration,credit_history,purpose,credit_amount,status_savings,years_employment,payment_to_income_ratio,status_and_sex,secondary_obligor,residence_since,collateral,age,other_installment_plans,housing,n_credits,job,n_guarantors,telephone,is_foreign_worker,target,Unnamed: 21
no checking account,12,critical account/ other credits existing (not at this bank),education,2748,< 100 DM,>= 7 years,2,female : divorced/separated/married,none,4,savings agreement/life insurance,57,bank,for free,3,unskilled - resident,1,none,yes,good,
no checking account,10,critical account/ other credits existing (not at this bank),car (new),1231,< 100 DM,>= 7 years,3,male : single,none,4,none,32,none,own,2,unskilled - resident,2,none,no,good,
0 to < 200 DM,15,existing credits paid back duly till now,radio/television,802,< 100 DM,>= 7 years,4,male : single,none,3,real estate,37,none,own,1,skilled employee/ official,2,none,yes,bad,
no checking account,36,critical account/ other credits existing (not at this bank),business,6304,unknown/ no savings account,>= 7 years,4,male : single,none,4,none,36,none,own,2,skilled employee/ official,1,none,yes,good,
no checking account,24,existing credits paid back duly till now,radio/television,999,unknown/ no savings account,>= 7 years,4,male : single,none,2,real estate,25,none,own,2,skilled employee/ official,1,none,yes,good,
no checking account,18,existing credits paid back duly till now,car (new),2662,unknown/ no savings account,4 to < 7 years,4,male : single,none,3,car,32,none,own,1,skilled employee/ official,1,none,no,good,
0 to < 200 DM,48,existing credits paid back duly till now,radio/television,3060,< 100 DM,4 to < 7 years,4,male : single,none,4,none,28,none,own,2,skilled employee/ official,1,none,yes,bad,
no checking account,9,existing credits paid back duly till now,radio/television,2697,< 100 DM,1 to < 4 years,1,male : single,none,2,none,32,none,own,1,skilled employee/ official,2,none,yes,good,
no checking account,18,critical account/ other credits existing (not at this bank),radio/television,2404,< 100 DM,1 to < 4 years,2,female : divorced/separated/married,none,2,real estate,26,none,own,2,skilled employee/ official,1,none,yes,good,
no checking account,6,existing credits paid back duly till now,furniture/equipment,4611,< 100 DM,< 1 year,1,female : divorced/separated/married,none,4,car,32,none,own,1,skilled employee/ official,1,none,yes,bad,
no checking account,12,existing credits paid back duly till now,furniture/equipment,1574,< 100 DM,1 to < 4 years,4,male : single,none,2,none,50,none,own,1,skilled employee/ official,1,none,yes,good,
>= 200 DM,18,all credits at this bank paid back duly,radio/television,1445,unknown/ no savings account,4 to < 7 years,4,male : single,none,4,real estate,49,bank,own,1,unskilled - resident,1,none,yes,good,
no checking account,15,critical account/ other credits existing (not at this bank),furniture/equipment,1520,unknown/ no savings account,>= 7 years,4,male : single,none,4,car,63,none,own,1,skilled employee/ official,1,none,yes,good,
< 0 DM,48,existing credits paid back duly till now,car (used),4788,< 100 DM,4 to < 7 years,4,male : single,none,3,car,26,none,own,1,skilled employee/ official,2,none,yes,good,
< 0 DM,24,delay in paying off in the past,radio/television,1024,< 100 DM,< 1 year,4,male : married/widowed,none,4,none,48,stores,own,1,skilled employee/ official,1,none,yes,bad,
>= 200 DM,42,critical account/ other credits existing (not at this bank),car (used),4796,< 100 DM,>= 7 years,4,male : single,none,4,savings agreement/life insurance,56,none,for free,1,skilled employee/ official,1,none,yes,good,
no checking account,48,critical account/ other credits existing (not at this bank),business,7629,unknown/ no savings account,>= 7 years,4,male : divorced/separated,none,2,real estate,46,bank,own,2,management/ self-employed/highly qualified employee,2,none,yes,good,
no checking account,12,existing credits paid back duly till now,car (used),4675,unknown/ no savings account,< 1 year,1,female : divorced/separated/married,none,4,real estate,20,none,rent,1,skilled employee/ official,1,none,yes,good,
no checking account,10,existing credits paid back duly till now,car (new),1287,unknown/ no savings account,>= 7 years,4,male : single,co-applicant,2,car,45,none,own,1,unskilled - resident,1,none,no,good,
>= 200 DM,24,critical account/ other credits existing (not at this bank),car (new),1344,unknown/ no savings account,4 to < 7 years,4,male : single,none,2,none,37,bank,own,2,unskilled - resident,2,none,yes,bad,
no checking account,48,critical account/ other credits existing (not at this bank),car (new),10127,500 to < 1000 DM,1 to < 4 years,2,male : single,none,2,savings agreement/life insurance,44,bank,for free,1,skilled employee/ official,1,none,yes,bad,
no checking account,6,existing credits paid back duly till now,furniture/equipment,1543,>= 1000 DM,1 to < 4 years,4,male : divorced/separated,none,2,none,33,none,own,1,skilled employee/ official,1,none,yes,good,
no checking account,30,existing credits paid back duly till now,car (used),4811,unknown/ no savings account,4 to < 7 years,2,female : divorced/separated/married,none,4,car,24,stores,rent,1,unskilled - resident,1,none,yes,good,
0 to < 200 DM,8,existing credits paid back duly till now,furniture/equipment,1237,< 100 DM,1 to < 4 years,3,female : divorced/separated/married,none,4,none,24,none,own,1,skilled employee/ official,1,none,yes,bad,
0 to < 200 DM,9,existing credits paid back duly till now,car (new),276,< 100 DM,1 to < 4 years,4,male : married/widowed,none,4,none,22,none,rent,1,unskilled - resident,1,none,yes,good,
no checking account,24,existing credits paid back duly till now,furniture/equipment,5511,100 to < 500 DM,1 to < 4 years,4,male : single,none,1,real estate,25,stores,own,1,skilled employee/ official,1,none,yes,good,
>= 200 DM,24,existing credits paid back duly till now,furniture/equipment,3749,< 100 DM,< 1 year,2,female : divorced/separated/married,none,4,real estate,26,none,own,1,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,12,existing credits paid back duly till now,car (new),685,< 100 DM,4 to < 7 years,2,male : married/widowed,none,3,real estate,25,bank,own,1,unskilled - resident,1,none,yes,bad,
>= 200 DM,4,existing credits paid back duly till now,car (new),1494,unknown/ no savings account,< 1 year,1,male : single,none,2,none,29,none,own,1,unskilled - resident,2,none,no,good,
< 0 DM,36,all credits at this bank paid back duly,furniture/equipment,2746,< 100 DM,>= 7 years,4,male : single,none,4,real estate,31,bank,own,1,skilled employee/ official,1,none,yes,bad,
< 0 DM,12,existing credits paid back duly till now,furniture/equipment,708,< 100 DM,1 to < 4 years,2,male : single,guarantor,3,car,38,none,own,1,unskilled - resident,2,none,yes,good,
no checking account,12,critical account/ other credits existing (not at this bank),education,701,< 100 DM,1 to < 4 years,4,male : single,none,2,real estate,32,none,own,2,skilled employee/ official,1,none,yes,good,
< 0 DM,15,delay in paying off in the past,furniture/equipment,3643,< 100 DM,>= 7 years,1,female : divorced/separated/married,none,4,car,27,none,own,2,unskilled - resident,1,none,yes,good,
0 to < 200 DM,30,critical account/ other credits existing (not at this bank),car (new),4249,< 100 DM,unemployed,4,male : married/widowed,none,2,real estate,28,none,own,2,management/ self-employed/highly qualified employee,1,none,yes,bad,
< 0 DM,24,existing credits paid back duly till now,radio/television,1938,< 100 DM,< 1 year,4,male : divorced/separated,none,3,car,32,none,own,1,skilled employee/ official,1,none,yes,bad,
< 0 DM,18,existing credits paid back duly till now,furniture/equipment,2659,>= 1000 DM,1 to < 4 years,4,male : single,none,2,real estate,28,none,own,1,skilled employee/ official,1,none,yes,good,
no checking account,18,critical account/ other credits existing (not at this bank),car (new),1028,< 100 DM,1 to < 4 years,4,female : divorced/separated/married,none,3,none,36,none,own,2,skilled employee/ official,1,none,yes,good,
< 0 DM,8,critical account/ other credits existing (not at this bank),car (new),3398,< 100 DM,4 to < 7 years,1,male : single,none,4,none,39,none,own,2,unskilled - resident,1,none,no,good,
>= 200 DM,36,existing credits paid back duly till now,radio/television,4473,< 100 DM,>= 7 years,4,male : single,none,2,real estate,31,none,own,1,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,6,existing credits paid back duly till now,radio/television,1068,< 100 DM,>= 7 years,4,male : single,none,4,real estate,28,none,own,1,skilled employee/ official,2,none,yes,good,
no checking account,18,critical account/ other credits existing (not at this bank),education,1864,100 to < 500 DM,1 to < 4 years,4,female : divorced/separated/married,none,2,none,30,none,own,2,skilled employee/ official,1,none,yes,bad,
0 to < 200 DM,60,existing credits paid back duly till now,car (new),7408,100 to < 500 DM,< 1 year,4,female : divorced/separated/married,none,2,car,24,none,own,1,management/ self-employed/highly qualified employee,1,none,yes,bad,
no checking account,48,critical account/ other credits existing (not at this bank),car (used),11590,100 to < 500 DM,1 to < 4 years,2,female : divorced/separated/married,none,4,real estate,24,bank,rent,2,unskilled - resident,1,none,yes,bad,
< 0 DM,24,no credits taken/ all credits paid back duly,furniture/equipment,4110,< 100 DM,>= 7 years,3,male : single,none,4,savings agreement/life insurance,23,bank,rent,2,skilled employee/ official,2,none,yes,bad,
0 to < 200 DM,13,existing credits paid back duly till now,radio/television,2101,< 100 DM,< 1 year,2,female : divorced/separated/married,guarantor,4,car,23,none,own,1,unskilled - resident,1,none,yes,good,
< 0 DM,15,existing credits paid back duly till now,domestic appliances,1275,unknown/ no savings account,1 to < 4 years,4,female : divorced/separated/married,none,2,real estate,24,none,rent,1,skilled employee/ official,1,none,yes,bad,
< 0 DM,24,existing credits paid back duly till now,furniture/equipment,4169,< 100 DM,1 to < 4 years,4,male : single,none,4,car,28,none,own,1,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,10,existing credits paid back duly till now,furniture/equipment,1521,< 100 DM,1 to < 4 years,4,male : divorced/separated,none,2,real estate,31,none,own,1,unskilled - resident,1,none,yes,good,
< 0 DM,21,existing credits paid back duly till now,furniture/equipment,3599,< 100 DM,4 to < 7 years,1,female : divorced/separated/married,none,4,real estate,26,none,rent,1,unskilled - resident,1,none,yes,good,
0 to < 200 DM,18,existing credits paid back duly till now,radio/television,3213,500 to < 1000 DM,< 1 year,1,male : married/widowed,none,3,none,25,none,rent,1,skilled employee/ official,1,none,yes,good,
>= 200 DM,10,existing credits paid back duly till now,car (new),3949,< 100 DM,< 1 year,1,male : single,guarantor,1,car,37,none,own,1,unskilled - resident,2,none,yes,good,
no checking account,15,critical account/ other credits existing (not at this bank),radio/television,1459,< 100 DM,1 to < 4 years,4,female : divorced/separated/married,none,2,real estate,43,none,own,1,unskilled - resident,1,none,yes,good,
0 to < 200 DM,13,critical account/ other credits existing (not at this bank),radio/television,882,< 100 DM,< 1 year,4,male : single,guarantor,4,none,23,none,own,2,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,24,existing credits paid back duly till now,radio/television,3758,500 to < 1000 DM,unemployed,1,female : divorced/separated/married,none,4,savings agreement/life insurance,23,none,rent,1,unemployed/ unskilled - non-resident,1,none,yes,good,
no checking account,6,delay in paying off in the past,business,1743,100 to < 500 DM,1 to < 4 years,1,male : single,none,2,none,34,none,own,2,unskilled - resident,1,none,yes,good,
0 to < 200 DM,9,critical account/ other credits existing (not at this bank),education,1136,>= 1000 DM,>= 7 years,4,male : single,none,3,savings agreement/life insurance,32,none,for free,2,skilled employee/ official,2,none,yes,bad,
0 to < 200 DM,9,existing credits paid back duly till now,furniture/equipment,959,< 100 DM,1 to < 4 years,1,female : divorced/separated/married,none,2,real estate,29,none,own,1,skilled employee/ official,1,none,no,bad,
0 to < 200 DM,24,existing credits paid back duly till now,car (new),1246,< 100 DM,< 1 year,4,male : single,none,2,none,23,stores,own,1,unskilled - resident,1,none,yes,bad,
no checking account,12,existing credits paid back duly till now,radio/television,776,< 100 DM,1 to < 4 years,4,male : married/widowed,none,2,none,28,none,own,1,skilled employee/ official,1,none,yes,good,
< 0 DM,30,existing credits paid back duly till now,furniture/equipment,2406,< 100 DM,4 to < 7 years,4,female : divorced/separated/married,none,4,none,23,none,rent,1,skilled employee/ official,1,none,yes,bad,
0 to < 200 DM,18,existing credits paid back duly till now,education,1239,unknown/ no savings account,1 to < 4 years,4,male : single,none,4,savings agreement/life insurance,61,none,for free,1,skilled employee/ official,1,none,yes,good,
>= 200 DM,12,existing credits paid back duly till now,radio/television,3399,unknown/ no savings account,>= 7 years,2,male : single,none,3,real estate,37,none,own,1,management/ self-employed/highly qualified employee,1,none,yes,good,
no checking account,6,existing credits paid back duly till now,furniture/equipment,1766,< 100 DM,1 to < 4 years,1,male : married/widowed,none,2,car,21,none,rent,1,skilled employee/ official,1,none,yes,good,
< 0 DM,18,existing credits paid back duly till now,furniture/equipment,2473,< 100 DM,unemployed,4,male : single,none,1,real estate,25,none,own,1,unemployed/ unskilled - non-resident,1,none,yes,bad,
no checking account,18,critical account/ other credits existing (not at this bank),car (used),3850,< 100 DM,4 to < 7 years,3,male : single,none,1,real estate,27,none,own,2,skilled employee/ official,1,none,yes,good,
< 0 DM,18,existing credits paid back duly till now,furniture/equipment,3650,< 100 DM,< 1 year,1,female : divorced/separated/married,none,4,real estate,22,none,rent,1,skilled employee/ official,1,none,yes,good,
< 0 DM,36,existing credits paid back duly till now,furniture/equipment,3446,< 100 DM,>= 7 years,4,male : single,none,2,real estate,42,none,own,1,skilled employee/ official,2,none,yes,bad,
0 to < 200 DM,18,existing credits paid back duly till now,furniture/equipment,3001,< 100 DM,4 to < 7 years,2,female : divorced/separated/married,none,4,none,40,none,rent,1,skilled employee/ official,1,none,yes,good,
no checking account,36,existing credits paid back duly till now,car (new),3079,unknown/ no savings account,1 to < 4 years,4,male : single,none,4,none,36,none,own,1,skilled employee/ official,1,none,yes,good,
no checking account,10,critical account/ other credits existing (not at this bank),furniture/equipment,2146,< 100 DM,< 1 year,1,female : divorced/separated/married,none,3,none,23,none,rent,2,skilled employee/ official,1,none,yes,good,
< 0 DM,48,all credits at this bank paid back duly,business,7685,< 100 DM,4 to < 7 years,2,female : divorced/separated/married,guarantor,4,real estate,37,none,rent,1,skilled employee/ official,1,none,yes,bad,
no checking account,18,delay in paying off in the past,radio/television,2320,< 100 DM,unemployed,2,male : married/widowed,none,3,none,34,none,own,2,skilled employee/ official,1,none,yes,good,
no checking account,7,delay in paying off in the past,radio/television,846,unknown/ no savings account,>= 7 years,3,male : single,none,4,savings agreement/life insurance,36,none,for free,1,skilled employee/ official,1,none,yes,good,
no checking account,6,critical account/ other credits existing (not at this bank),car (new),362,100 to < 500 DM,1 to < 4 years,4,female : divorced/separated/married,none,4,real estate,52,none,own,2,unskilled - resident,1,none,yes,good,
no checking account,22,existing credits paid back duly till now,car (new),1283,unknown/ no savings account,4 to < 7 years,4,female : divorced/separated/married,none,4,car,25,none,rent,1,skilled employee/ official,1,none,yes,good,
>= 200 DM,12,existing credits paid back duly till now,car (new),1330,< 100 DM,< 1 year,4,male : single,none,1,none,26,none,own,1,skilled employee/ official,1,none,yes,good,
no checking account,30,delay in paying off in the past,business,4272,100 to < 500 DM,1 to < 4 years,2,male : single,none,2,car,26,none,own,2,unskilled - resident,1,none,yes,good,
no checking account,18,critical account/ other credits existing (not at this bank),radio/television,2238,< 100 DM,1 to < 4 years,2,female : divorced/separated/married,none,1,real estate,25,none,own,2,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,15,critical account/ other credits existing (not at this bank),business,2326,500 to < 1000 DM,1 to < 4 years,2,male : single,none,4,real estate,27,bank,own,1,skilled employee/ official,1,none,yes,good,
no checking account,9,existing credits paid back duly till now,business,1449,< 100 DM,4 to < 7 years,3,female : divorced/separated/married,none,2,real estate,27,none,own,2,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,12,existing credits paid back duly till now,furniture/equipment,983,>= 1000 DM,< 1 year,1,female : divorced/separated/married,none,4,none,19,none,rent,1,unskilled - resident,1,none,yes,good,
< 0 DM,6,critical account/ other credits existing (not at this bank),radio/television,1957,< 100 DM,4 to < 7 years,1,female : divorced/separated/married,none,4,real estate,31,none,own,1,skilled employee/ official,1,none,yes,good,
no checking account,9,critical account/ other credits existing (not at this bank),furniture/equipment,2406,< 100 DM,unemployed,2,male : single,none,3,real estate,31,none,own,1,management/ self-employed/highly qualified employee,1,none,yes,good,
< 0 DM,12,existing credits paid back duly till now,furniture/equipment,2578,< 100 DM,unemployed,3,female : divorced/separated/married,none,4,savings agreement/life insurance,55,none,for free,1,management/ self-employed/highly qualified employee,1,none,yes,good,
0 to < 200 DM,12,existing credits paid back duly till now,car (new),1223,< 100 DM,>= 7 years,1,male : divorced/separated,none,1,none,46,none,rent,2,skilled employee/ official,1,none,yes,bad,
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,1516,>= 1000 DM,1 to < 4 years,4,female : divorced/separated/married,none,1,none,43,none,own,2,unskilled - resident,1,none,yes,good,
0 to < 200 DM,18,critical account/ other credits existing (not at this bank),business,1887,unknown/ no savings account,1 to < 4 years,4,male : married/widowed,none,4,none,28,bank,own,2,skilled employee/ official,1,none,yes,good,
no checking account,14,delay in paying off in the past,car (new),802,< 100 DM,1 to < 4 years,4,male : single,none,2,real estate,27,none,own,2,unskilled - resident,1,none,yes,good,
0 to < 200 DM,18,delay in paying off in the past,car (new),2899,unknown/ no savings account,>= 7 years,4,male : single,none,4,real estate,43,none,own,1,skilled employee/ official,2,none,yes,good,
< 0 DM,15,existing credits paid back duly till now,radio/television,1053,< 100 DM,< 1 year,4,male : married/widowed,none,2,none,27,none,own,1,skilled employee/ official,1,none,no,good,
no checking account,10,existing credits paid back duly till now,car (new),1597,500 to < 1000 DM,1 to < 4 years,3,male : single,none,2,savings agreement/life insurance,40,none,rent,1,unskilled - resident,2,none,no,good,
< 0 DM,24,existing credits paid back duly till now,car (new),1381,unknown/ no savings account,1 to < 4 years,4,female : divorced/separated/married,none,2,car,35,none,own,1,skilled employee/ official,1,none,yes,bad,
< 0 DM,12,existing credits paid back duly till now,car (new),2579,< 100 DM,< 1 year,4,male : single,none,1,none,33,none,own,1,unskilled - resident,2,none,yes,bad,
no checking account,21,existing credits paid back duly till now,car (new),2782,500 to < 1000 DM,4 to < 7 years,1,female : divorced/separated/married,none,2,real estate,31,bank,own,1,management/ self-employed/highly qualified employee,1,none,yes,good,
0 to < 200 DM,18,existing credits paid back duly till now,car (new),1042,unknown/ no savings account,1 to < 4 years,4,female : divorced/separated/married,none,2,car,33,none,own,1,skilled employee/ official,1,none,yes,bad,
no checking account,15,existing credits paid back duly till now,car (new),3186,>= 1000 DM,4 to < 7 years,2,female : divorced/separated/married,none,3,real estate,20,none,rent,1,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,12,existing credits paid back duly till now,car (used),2028,unknown/ no savings account,1 to < 4 years,4,male : single,none,2,real estate,30,none,own,1,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,12,critical account/ other credits existing (not at this bank),car (new),958,< 100 DM,4 to < 7 years,2,male : single,none,3,none,47,none,own,2,unskilled - resident,2,none,yes,good,
no checking account,21,delay in paying off in the past,furniture/equipment,1591,100 to < 500 DM,4 to < 7 years,4,male : single,none,3,none,34,none,own,2,management/ self-employed/highly qualified employee,1,none,yes,good,
no checking account,28,critical account/ other credits existing (not at this bank),radio/television,2743,< 100 DM,>= 7 years,4,male : single,none,2,real estate,29,none,own,2,skilled employee/ official,1,none,yes,good,
no checking account,18,critical account/ other credits existing (not at this bank),radio/television,1149,>= 1000 DM,1 to < 4 years,4,male : single,none,3,none,46,none,own,2,skilled employee/ official,1,none,yes,good,
no checking account,9,existing credits paid back duly till now,furniture/equipment,1313,< 100 DM,>= 7 years,1,male : single,none,4,real estate,20,none,own,1,skilled employee/ official,1,none,yes,good,
< 0 DM,18,critical account/ other credits existing (not at this bank),repairs,1190,< 100 DM,unemployed,2,female : divorced/separated/married,none,4,savings agreement/life insurance,55,none,for free,3,unemployed/ unskilled - non-resident,2,none,yes,bad,
no checking account,5,existing credits paid back duly till now,business,3448,< 100 DM,4 to < 7 years,1,male : single,none,4,none,74,none,own,1,unskilled - resident,1,none,yes,good,
< 0 DM,9,existing credits paid back duly till now,furniture/equipment,2136,< 100 DM,1 to < 4 years,3,male : single,none,2,none,25,none,own,1,skilled employee/ official,1,none,yes,good,
no checking account,6,existing credits paid back duly till now,repairs,660,500 to < 1000 DM,4 to < 7 years,2,male : married/widowed,none,4,none,23,none,rent,1,unskilled - resident,1,none,yes,good,
< 0 DM,42,critical account/ other credits existing (not at this bank),repairs,3394,< 100 DM,unemployed,4,male : single,co-applicant,4,real estate,65,none,own,2,unemployed/ unskilled - non-resident,1,none,yes,good,
>= 200 DM,12,all credits at this bank paid back duly,business,609,< 100 DM,< 1 year,4,female : divorced/separated/married,none,1,none,26,none,own,1,unemployed/ unskilled - non-resident,1,none,yes,bad,
< 0 DM,12,existing credits paid back duly till now,furniture/equipment,1620,< 100 DM,1 to < 4 years,2,female : divorced/separated/married,co-applicant,3,car,30,none,own,1,skilled employee/ official,1,none,yes,good,
no checking account,12,existing credits paid back duly till now,education,719,< 100 DM,>= 7 years,4,male : single,none,4,real estate,41,bank,own,1,unskilled - resident,2,none,yes,bad,
no checking account,9,critical account/ other credits existing (not at this bank),education,1244,unknown/ no savings account,>= 7 years,4,female : divorced/separated/married,none,4,car,41,none,rent,2,unskilled - resident,1,none,yes,good,
0 to < 200 DM,7,existing credits paid back duly till now,radio/television,2576,< 100 DM,1 to < 4 years,2,male : single,guarantor,2,none,35,none,own,1,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,15,delay in paying off in the past,repairs,1512,>= 1000 DM,1 to < 4 years,3,male : married/widowed,none,3,car,61,stores,own,2,skilled employee/ official,1,none,yes,bad,
no checking account,6,existing credits paid back duly till now,radio/television,518,< 100 DM,1 to < 4 years,3,female : divorced/separated/married,none,1,none,29,none,own,1,skilled employee/ official,1,none,yes,good,
no checking account,12,no credits taken/ all credits paid back duly,furniture/equipment,2759,< 100 DM,>= 7 years,2,male : single,none,4,car,34,none,own,2,skilled employee/ official,1,none,yes,good,
< 0 DM,11,critical account/ other credits existing (not at this bank),car (new),3905,< 100 DM,1 to < 4 years,2,male : single,none,2,none,36,none,rent,2,skilled employee/ official,2,none,yes,good,
< 0 DM,6,existing credits paid back duly till now,domestic appliances,343,< 100 DM,< 1 year,4,female : divorced/separated/married,none,1,none,27,none,own,1,skilled employee/ official,1,none,yes,good,
< 0 DM,36,existing credits paid back duly till now,furniture/equipment,3620,< 100 DM,1 to < 4 years,1,male : single,guarantor,2,car,37,none,own,1,skilled employee/ official,2,none,yes,good,
< 0 DM,15,existing credits paid back duly till now,car (new),1721,< 100 DM,< 1 year,2,male : single,none,3,none,36,none,own,1,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,12,existing credits paid back duly till now,furniture/equipment,3017,< 100 DM,< 1 year,3,female : divorced/separated/married,none,1,none,34,none,rent,1,management/ self-employed/highly qualified employee,1,none,yes,good,
0 to < 200 DM,12,existing credits paid back duly till now,retraining,754,unknown/ no savings account,>= 7 years,4,male : single,none,4,car,38,none,own,2,skilled employee/ official,1,none,yes,good,
no checking account,48,delay in paying off in the past,radio/television,7238,unknown/ no savings account,>= 7 years,3,male : single,none,3,real estate,32,bank,own,2,skilled employee/ official,2,none,yes,good,
< 0 DM,6,existing credits paid back duly till now,education,448,< 100 DM,< 1 year,4,female : divorced/separated/married,none,4,car,23,none,own,1,skilled employee/ official,1,none,yes,bad,
< 0 DM,9,existing credits paid back duly till now,car (new),654,< 100 DM,1 to < 4 years,4,male : single,none,3,real estate,28,none,own,1,unskilled - resident,1,none,yes,bad,
0 to < 200 DM,18,critical account/ other credits existing (not at this bank),radio/television,1245,< 100 DM,1 to < 4 years,4,male : married/widowed,none,2,real estate,33,none,own,1,skilled employee/ official,1,none,yes,bad,
< 0 DM,18,no credits taken/ all credits paid back duly,furniture/equipment,3114,< 100 DM,< 1 year,1,female : divorced/separated/married,none,4,car,26,none,rent,1,skilled employee/ official,1,none,yes,bad,
no checking account,39,existing credits paid back duly till now,car (used),2569,500 to < 1000 DM,1 to < 4 years,4,male : single,none,4,real estate,24,none,own,1,skilled employee/ official,1,none,yes,good,
>= 200 DM,24,existing credits paid back duly till now,radio/television,5152,< 100 DM,4 to < 7 years,4,male : single,none,2,real estate,25,bank,own,1,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,12,existing credits paid back duly till now,business,1037,100 to < 500 DM,4 to < 7 years,3,male : single,none,4,none,39,none,own,1,unskilled - resident,1,none,yes,good,
0 to < 200 DM,12,critical account/ other credits existing (not at this bank),radio/television,3573,< 100 DM,1 to < 4 years,1,female : divorced/separated/married,none,1,none,23,none,own,1,unskilled - resident,1,none,yes,good,
0 to < 200 DM,24,existing credits paid back duly till now,car (new),1201,< 100 DM,< 1 year,4,male : single,none,1,car,26,none,own,1,skilled employee/ official,1,none,yes,good,
no checking account,15,delay in paying off in the past,furniture/equipment,960,>= 1000 DM,4 to < 7 years,3,female : divorced/separated/married,none,2,car,30,none,own,2,skilled employee/ official,1,none,yes,good,
no checking account,10,existing credits paid back duly till now,car (new),1418,100 to < 500 DM,1 to < 4 years,3,male : single,none,2,none,35,none,rent,1,unskilled - resident,1,none,no,good,
no checking account,6,existing credits paid back duly till now,car (new),3518,< 100 DM,1 to < 4 years,2,male : single,guarantor,3,car,26,none,rent,1,skilled employee/ official,1,none,yes,good,
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,1934,< 100 DM,>= 7 years,2,male : single,none,2,savings agreement/life insurance,26,none,own,2,skilled employee/ official,1,none,yes,good,
no checking account,6,critical account/ other credits existing (not at this bank),radio/television,1237,100 to < 500 DM,1 to < 4 years,1,female : divorced/separated/married,none,1,car,27,none,own,2,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,6,existing credits paid back duly till now,radio/television,368,unknown/ no savings account,>= 7 years,4,male : single,none,4,car,38,none,own,1,skilled employee/ official,1,none,yes,good,
< 0 DM,12,critical account/ other credits existing (not at this bank),car (new),2122,< 100 DM,1 to < 4 years,3,male : single,none,2,none,39,none,rent,2,unskilled - resident,2,none,no,good,
< 0 DM,24,existing credits paid back duly till now,furniture/equipment,2996,unknown/ no savings account,1 to < 4 years,2,male : married/widowed,none,4,real estate,20,none,own,1,skilled employee/ official,1,none,yes,bad,
no checking account,24,critical account/ other credits existing (not at this bank),furniture/equipment,1585,< 100 DM,4 to < 7 years,4,male : single,none,3,car,40,none,own,2,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,18,existing credits paid back duly till now,radio/television,1301,< 100 DM,>= 7 years,4,male : married/widowed,guarantor,2,none,32,none,own,1,unskilled - resident,1,none,yes,good,
< 0 DM,24,existing credits paid back duly till now,car (new),3123,< 100 DM,< 1 year,4,female : divorced/separated/married,none,1,car,27,none,own,1,skilled employee/ official,1,none,yes,bad,
< 0 DM,36,existing credits paid back duly till now,car (used),5493,< 100 DM,>= 7 years,2,male : single,none,4,savings agreement/life insurance,42,none,for free,1,skilled employee/ official,2,none,yes,good,
>= 200 DM,9,existing credits paid back duly till now,radio/television,1126,100 to < 500 DM,>= 7 years,2,male : divorced/separated,none,4,none,49,none,own,1,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,24,critical account/ other credits existing (not at this bank),radio/television,1216,100 to < 500 DM,< 1 year,4,male : single,none,4,savings agreement/life insurance,38,bank,own,2,skilled employee/ official,2,none,yes,bad,
< 0 DM,24,existing credits paid back duly till now,car (new),1207,< 100 DM,< 1 year,4,female : divorced/separated/married,none,4,car,24,none,rent,1,skilled employee/ official,1,none,yes,bad,
no checking account,10,existing credits paid back duly till now,car (new),1309,unknown/ no savings account,1 to < 4 years,4,male : single,guarantor,4,car,27,none,own,1,unskilled - resident,1,none,yes,bad,
no checking account,24,existing credits paid back duly till now,radio/television,1413,< 100 DM,1 to < 4 years,4,male : married/widowed,none,2,car,28,none,own,1,skilled employee/ official,1,none,yes,good,
< 0 DM,12,existing credits paid back duly till now,car (new),759,< 100 DM,4 to < 7 years,4,male : single,none,2,none,26,none,own,1,skilled employee/ official,1,none,yes,bad,
0 to < 200 DM,12,delay in paying off in the past,radio/television,585,< 100 DM,1 to < 4 years,4,male : married/widowed,co-applicant,4,none,20,none,rent,2,skilled employee/ official,1,none,yes,good,
no checking account,24,existing credits paid back duly till now,car (new),2255,unknown/ no savings account,< 1 year,4,male : single,none,1,car,54,none,own,1,skilled employee/ official,1,none,yes,good,
< 0 DM,6,critical account/ other credits existing (not at this bank),car (new),609,< 100 DM,4 to < 7 years,4,female : divorced/separated/married,none,3,car,37,none,own,2,skilled employee/ official,1,none,no,good,
